Nom,Lien,Code INSEE,Page Lien,Prix,Lieu,Taille,Taille_terrain,Pieces,Prix au m2
Grande maison avec grands volumes à 800 mètres des supermarchés,https://www.etreproprio.com/immobilier-23888195-vente-grande-maison-avec-grands-volumes-a-800-metres-des-supermarches-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,249600.0,Audierne 29770,127.0,771,7.0,1965.0
Maison 104m² à audierne,https://www.etreproprio.com/immobilier-23883233-vente-maison-104m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,200000.0,Audierne 29770,104.0,353,4.0,1923.0
Maison audierne,https://www.etreproprio.com/immobilier-23873695-vente-maison-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,239200.0,Audierne 29770,129.0,1 145,7.0,1854.0
Charmante maison de ville au cœur du centre ville d'audierne,https://www.etreproprio.com/immobilier-23873704-vente-charmante-maison-de-ville-au-coeur-du-centre-ville-d-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,131250.0,Audierne 29770,70.0,,4.0,1875.0
Emplacement exceptionnel - vue mer -  à 100m de la mer et proche des plages - maison récente,https://www.etreproprio.com/immobilier-23873692-vente-emplacement-exceptionnel-vue-mer-a-100m-de-la-mer-et-proche-des-plages-maison-recente-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,395200.0,Audierne 29770,130.0,370,5.0,3040.0
Jolie maison de pêcheur en pierre - 3 chambres - accès centre ville d'audierne à pied,https://www.etreproprio.com/immobilier-23873690-vente-jolie-maison-de-pecheur-en-pierre-3-chambres-acces-centre-ville-d-audierne-a-pied-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,202800.0,Audierne 29770,70.0,198,3.0,2897.0
Maison à vendre  résidence de vacances à audierne,https://www.etreproprio.com/immobilier-23861085-vente-maison-a-vendre-residence-de-vacances-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,146300.0,Audierne 29770,55.0,20,4.0,2660.0
"Dpt finistère (29), maison à vendre 8 pièces audierne",https://www.etreproprio.com/immobilier-23837017-vente-dpt-finistere-29-maison-a-vendre-8-pieces-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,528000.0,Audierne 29770,210.0,1 920,8.0,2514.0
Maison 150m² à audierne,https://www.etreproprio.com/immobilier-23810759-vente-maison-150m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,168000.0,Audierne 29770,150.0,450,7.0,1120.0
Maison audierne 6 pièce(s) 120 m2,https://www.etreproprio.com/immobilier-23303077-vente-maison-audierne-6-pieces-120-m2-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,165850.0,Audierne 29770,120.0,1 035,6.0,1382.0
Maison 154m² à audierne,https://www.etreproprio.com/immobilier-23786558-vente-maison-154m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,258000.0,Audierne 29770,154.0,810,8.0,1675.0
Maison 129m² à audierne,https://www.etreproprio.com/immobilier-23754447-vente-maison-129m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,239000.0,Audierne 29770,129.0,1 140,7.0,1853.0
Maison 100m² à audierne,https://www.etreproprio.com/immobilier-23702735-vente-maison-100m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,208000.0,Audierne 29770,100.0,657,5.0,2080.0
Maison 85m² à audierne,https://www.etreproprio.com/immobilier-23679159-vente-maison-85m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,174000.0,Audierne 29770,85.0,561,5.0,2047.0
Maison 63m² à audierne,https://www.etreproprio.com/immobilier-23629979-vente-maison-63m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,258000.0,Audierne 29770,63.0,883,3.0,4095.0
Maison 55m² à audierne,https://www.etreproprio.com/immobilier-23631625-vente-maison-55m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,146300.0,Audierne 29770,55.0,15,4.0,2660.0
Maison 200m² à audierne,https://www.etreproprio.com/immobilier-23608185-vente-maison-200m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,698000.0,Audierne 29770,200.0,2 300,5.0,3490.0
Maison 158m² à audierne,https://www.etreproprio.com/immobilier-23412518-vente-maison-158m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,512000.0,Audierne 29770,158.0,503,7.0,3241.0
Maison 60m² à audierne,https://www.etreproprio.com/immobilier-23544859-vente-maison-60m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g1#list,169000.0,Audierne 29770,60.0,1 400,3.0,2817.0
Longère 4 chambres à arzano,https://www.etreproprio.com/immobilier-23758849-vente-longere-4-chambres-a-arzano-arzano,29002,https://www.etreproprio.com/annonces/th.lc29002-r0.odd.g1#list,232100.0,Arzano 29300,142.0,1 964,6.0,1635.0
Maison 409m² à arzano,https://www.etreproprio.com/immobilier-23581066-vente-maison-409m-a-arzano-arzano,29002,https://www.etreproprio.com/annonces/th.lc29002-r0.odd.g1#list,899200.0,Arzano 29300,409.0,,18.0,2199.0
Maison 135m² à arzano,https://www.etreproprio.com/immobilier-23343322-vente-maison-135m-a-arzano-arzano,29002,https://www.etreproprio.com/annonces/th.lc29002-r0.odd.g1#list,227000.0,Arzano 29300,135.0,2 860,5.0,1681.0
Très belle propriété à la campagne !,https://www.etreproprio.com/immobilier-22707642-vente-tres-belle-propriete-a-la-campagne-arzano,29002,https://www.etreproprio.com/annonces/th.lc29002-r0.odd.g1#list,600990.0,Arzano 29300,362.0,5 318,13.0,1660.0
"Propriété de caractère, 262 m² habitables, 5 chambres et dépendance",https://www.etreproprio.com/immobilier-22534293-vente-propriete-de-caractere-262-m-habitables-5-chambres-et-dependance-arzano,29002,https://www.etreproprio.com/annonces/th.lc29002-r0.odd.g1#list,520000.0,Arzano 29300,262.0,1 427,8.0,1985.0
"Argol, belle néobretonne  t7  et serres sur 8 ares",https://www.etreproprio.com/immobilier-23901081-vente-argol-belle-neobretonne-t7-et-serres-sur-8-ares-argol,29001,https://www.etreproprio.com/annonces/th.lc29001-r0.odd.g1#list,465750.0,Argol 29560,190.0,8 338,7.0,2451.0
Argol bel ensemble équestre sur 5 hectares,https://www.etreproprio.com/immobilier-23764750-vente-argol-bel-ensemble-equestre-sur-5-hectares-argol,29001,https://www.etreproprio.com/annonces/th.lc29001-r0.odd.g1#list,455400.0,Argol 29560,130.0,51 610,6.0,3503.0
Maison à vendre 9 pièces argol (29),https://www.etreproprio.com/immobilier-23203013-vente-maison-a-vendre-9-pieces-argol-29-argol,29001,https://www.etreproprio.com/annonces/th.lc29001-r0.odd.g1#list,330000.0,Argol 29560,163.0,10 815,9.0,2025.0
Argol maison t5 de 2018,https://www.etreproprio.com/immobilier-23223936-vente-argol-maison-t5-de-2018-argol,29001,https://www.etreproprio.com/annonces/th.lc29001-r0.odd.g1#list,292866.0,Argol 29560,78.0,1 027,5.0,3755.0
Maison à vendre 6 pièces argol (29),https://www.etreproprio.com/immobilier-22173819-vente-maison-a-vendre-6-pieces-argol-29-argol,29001,https://www.etreproprio.com/annonces/th.lc29001-r0.odd.g1#list,293000.0,Argol 29560,78.0,1 027,6.0,3756.0
Maison à vendre 9 pièces argol (29),https://www.etreproprio.com/immobilier-22929425-vente-maison-a-vendre-9-pieces-argol-29-argol,29001,https://www.etreproprio.com/annonces/th.lc29001-r0.odd.g1#list,225000.0,Argol 29560,161.0,1 960,9.0,1398.0
Argol maison t4 avec dépendance située dans un écrin de verdure,https://www.etreproprio.com/immobilier-23353140-vente-argol-maison-t4-avec-dependance-situee-dans-un-ecrin-de-verdure-argol,29001,https://www.etreproprio.com/annonces/th.lc29001-r0.odd.g1#list,254400.0,Argol 29560,75.0,1 400,3.0,3392.0
Maison 112m² à argol,https://www.etreproprio.com/immobilier-21999796-vente-maison-112m-a-argol-argol,29001,https://www.etreproprio.com/annonces/th.lc29001-r0.odd.g1#list,249900.0,Argol 29560,112.0,2 197,6.0,2231.0
Maison 107m² à argol,https://www.etreproprio.com/immobilier-22913233-vente-maison-107m-a-argol-argol,29001,https://www.etreproprio.com/annonces/th.lc29001-r0.odd.g1#list,303000.0,Argol 29560,107.0,808,5.0,2832.0
Maison 246m² à argol,https://www.etreproprio.com/immobilier-22927469-vente-maison-246m-a-argol-argol,29001,https://www.etreproprio.com/annonces/th.lc29001-r0.odd.g1#list,669800.0,Argol 29560,246.0,3 500,10.0,2723.0
Nouveaute exclusivite- maison contemporaine- à deux pas de la mer,https://www.etreproprio.com/immobilier-22867852-vente-nouveaute-exclusivite-maison-contemporaine-a-deux-pas-de-la-mer-argol,29001,https://www.etreproprio.com/annonces/th.lc29001-r0.odd.g1#list,417000.0,Argol 29560,112.0,,6.0,3723.0
"Centre bourg, jolie maison t6",https://www.etreproprio.com/immobilier-22713987-vente-centre-bourg-jolie-maison-t6-argol,29001,https://www.etreproprio.com/annonces/th.lc29001-r0.odd.g1#list,187200.0,Argol 29560,109.0,370,6.0,1717.0
Maison 78m² à argol,https://www.etreproprio.com/immobilier-22321363-vente-maison-78m-a-argol-argol,29001,https://www.etreproprio.com/annonces/th.lc29001-r0.odd.g1#list,310000.0,Argol 29560,78.0,1 027,6.0,3974.0
Belle maison de campagne avec terres agricoles et boisées,https://www.etreproprio.com/immobilier-22326020-vente-belle-maison-de-campagne-avec-terres-agricoles-et-boisees-argol,29001,https://www.etreproprio.com/annonces/th.lc29001-r0.odd.g1#list,392000.0,Argol 29560,123.0,71 896,6.0,3187.0
29560  crozon argol maison de famille 5 chambres  dépendances et bois  sur 1 hectare,https://www.etreproprio.com/immobilier-22173380-vente-29560-crozon-argol-maison-de-famille-5-chambres-dependances-et-bois-sur-1-hectare-argol,29001,https://www.etreproprio.com/annonces/th.lc29001-r0.odd.g1#list,349000.0,Argol 29560,163.0,10 000,9.0,2141.0
Maison- audierne -188m2,https://www.etreproprio.com/immobilier-23303091-vente-maison-audierne-188m2-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g2#list,367999.0,Audierne 29770,189.0,810,8.0,1947.0
Maison audierne 7 pièces 207 m²,https://www.etreproprio.com/immobilier-23303096-vente-maison-audierne-7-pieces-207-m-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g2#list,595650.0,Audierne 29770,207.0,1 745,7.0,2878.0
Maison 128m² à audierne,https://www.etreproprio.com/immobilier-23292854-vente-maison-128m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g2#list,365000.0,Audierne 29770,128.0,1 923,6.0,2852.0
Maison 151m² à audierne,https://www.etreproprio.com/immobilier-23078735-vente-maison-151m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g2#list,777000.0,Audierne 29770,151.0,2 224,6.0,5146.0
Maison 150m² à audierne,https://www.etreproprio.com/immobilier-23058866-vente-maison-150m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g2#list,355000.0,Audierne 29770,150.0,96,6.0,2367.0
Maison 160m² à audierne,https://www.etreproprio.com/immobilier-22956151-vente-maison-160m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g2#list,384800.0,Audierne 29770,161.0,382,6.0,2390.0
Maison 160m² à audierne,https://www.etreproprio.com/immobilier-22921524-vente-maison-160m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g2#list,595650.0,Audierne 29770,160.0,1 745,7.0,3723.0
Maison 175m² à audierne,https://www.etreproprio.com/immobilier-21952787-vente-maison-175m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g2#list,210000.0,Audierne 29770,175.0,1 000,9.0,1200.0
Maison 11 pièces de 214 m2 à audierne,https://www.etreproprio.com/immobilier-22623264-vente-maison-11-pieces-de-214-m2-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g2#list,227000.0,Audierne 29770,214.0,450,11.0,1061.0
Maison 139m² à audierne,https://www.etreproprio.com/immobilier-21659711-vente-maison-139m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g2#list,343000.0,Audierne 29770,139.0,696,6.0,2468.0
Maison 198m² à audierne,https://www.etreproprio.com/immobilier-22198845-vente-maison-198m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g2#list,189900.0,Audierne 29770,198.0,,10.0,959.0
Maison 52m² à audierne,https://www.etreproprio.com/immobilier-21962684-vente-maison-52m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g2#list,154350.0,Audierne 29770,52.0,,3.0,2968.0
Maison 138m² à audierne,https://www.etreproprio.com/immobilier-21400721-vente-maison-138m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g2#list,219660.0,Audierne 29770,138.0,2 606,7.0,1592.0
Maison 240m² à audierne,https://www.etreproprio.com/immobilier-18961113-vente-maison-240m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g2#list,313800.0,Audierne 29770,240.0,808,12.0,1308.0
Maison 240m² à audierne,https://www.etreproprio.com/immobilier-20504323-vente-maison-240m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g2#list,832000.0,Audierne 29770,240.0,770,13.0,3467.0
Maison 45m² à audierne,https://www.etreproprio.com/immobilier-19941590-vente-maison-45m-a-audierne-audierne,29003,https://www.etreproprio.com/annonces/th.lc29003-r0.odd.g2#list,127500.0,Audierne 29770,45.0,,3.0,2833.0
